sample_id	age	genotype	new_annotation	entropy
280	6mos	CD70-/-;Bcl6tg/+	5_Other	1.94591014905531
280	6mos	CD70-/-;Bcl6tg/+	4_Naïve	2.19722457733622
280	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	2.484906649788
280	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	1.79175946922805
280	6mos	CD70-/-;Bcl6tg/+	0_Naïve	3.78418963391826
280	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	11_Cycling	NA
280	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	NA
072	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	1.09861228866811
072	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	2.27186851269656
072	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	2.69231099414179
072	6mos	CD70-/-;Bcl6tg/+	0_Naïve	3.35498756962483
072	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	NA
072	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	1.94591014905531
072	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	1.79175946922805
072	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	1.56071040904141
072	6mos	CD70-/-;Bcl6tg/+	4_Naïve	1.79175946922805
072	6mos	CD70-/-;Bcl6tg/+	5_Other	1.09861228866811
072	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
049	14mos	WT	1_CM/EM	3.46573590279973
049	14mos	WT	6_CM/EM	2.63905732961526
049	14mos	WT	4_Naïve	3.09104245335832
049	14mos	WT	0_Naïve	4.71849887129509
049	14mos	WT	13_Early exhausted CTLs	NA
