sample_id	age	genotype	new_annotation	richness
031	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	8
031	14mos	Bcl6tg/+	1_CM/EM	14
031	14mos	Bcl6tg/+	4_Naïve	7
031	14mos	Bcl6tg/+	13_Early exhausted CTLs	3
031	14mos	Bcl6tg/+	7_CM/EM	5
031	14mos	Bcl6tg/+	0_Naïve	17
031	14mos	Bcl6tg/+	9_Non-exhausted effectors	3
031	14mos	Bcl6tg/+	6_CM/EM	5
031	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	4
032b	14mos	Bcl6tg/+	6_CM/EM	5
032b	14mos	Bcl6tg/+	13_Early exhausted CTLs	8
032b	14mos	Bcl6tg/+	1_CM/EM	12
032b	14mos	Bcl6tg/+	3_Activated CTLs	26
032b	14mos	Bcl6tg/+	2_Exhausted CTLs	66
032b	14mos	Bcl6tg/+	5_Other	10
032b	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	9
032b	14mos	Bcl6tg/+	9_Non-exhausted effectors	5
032b	14mos	Bcl6tg/+	7_CM/EM	3
032b	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	12
032b	14mos	Bcl6tg/+	4_Naïve	NA
032b	14mos	Bcl6tg/+	0_Naïve	NA
032b	14mos	Bcl6tg/+	11_Cycling	8
036	14mos	Bcl6tg/+	1_CM/EM	35
036	14mos	Bcl6tg/+	2_Exhausted CTLs	15
036	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	5
036	14mos	Bcl6tg/+	11_Cycling	3
036	14mos	Bcl6tg/+	6_CM/EM	7
036	14mos	Bcl6tg/+	4_Naïve	5
036	14mos	Bcl6tg/+	0_Naïve	4
036	14mos	Bcl6tg/+	3_Activated CTLs	12
036	14mos	Bcl6tg/+	9_Non-exhausted effectors	5
036	14mos	Bcl6tg/+	7_CM/EM	12
036	14mos	Bcl6tg/+	13_Early exhausted CTLs	NA
036	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	NA
036	14mos	Bcl6tg/+	5_Other	3
083	14mos	Bcl6tg/+	13_Early exhausted CTLs	4
083	14mos	Bcl6tg/+	1_CM/EM	4
083	14mos	Bcl6tg/+	3_Activated CTLs	17
